actual,predicted
"detainees file suit against ice, allege they were injected with drugs. one detainee tells cnn  ""what they did to me was very, very bad"". ice says  ,  detainees have had ""medical escorts"" since  . sen. lieberman vows to investigate further; spokesman calls charges ""troubling"". ","los angeles, california  cnn     former detainees of immigration and customs enforcement accuse the agency in a lawsuit of forcibly injecting them with psychotropic drugs while trying to shuttle them out of the country during their deportation. ""the information the committee has received from ice regarding the forced drugging of immigration detainees is extremely troubling, particularly since it appears ice may have violated its own detention standards,"" lieberman spokeswoman leslie phillips told cnn in an email"
"the titanic memorial cruise is to set sail in april  ,   years after the sinking. it will depart from southampton, england, on april  , just as the titanic did. the trip will end in new york, where the titanic was headed. ","the titanic memorial cruise is to set sail in april  , departing from southampton, england, on april  , just as the titanic did"
"production had been stalled during negotiations. jim parsons, johnny galecki and kaley cuoco reportedly will own more of the show. two other cast members are said to still be in negotiations. ","according to deadline, the stars of the hit cbs series have agreed to hefty pay increases for the new season"
"new  mexican government says   people have died from virus. virus has spread to   countries, with hardest hit areas in the west. u.s. education department says outbreak has closed   schools in   states. vaccine could be made ""in a relatively short period of time,"" official says. ","the world health organization said friday that the number of confirmed cases stood at   worldwide, including   in the united states and   in mexico. ""  in addition to the confirmed h n  cases in mexico and the united states, canada has  ; spain has  ; united kingdom has  ; new zealand and germany each have  ; israel has  ; austria, china, denmark, netherlands and switzerland each have one, according to the who"
"the whale was swimming just under the surface. it happened in tiny, remote angoon. ","thats because, in alaska, where seaplanes are common, you just might land on a whale"
new  former presidents carter and clinton praise bush for his initiatives in africa. new  bush says the countrys greatest days lie ahead. new  the george w. bush presidential center is dedicated. bush tells cnn he is aware it will rekindle debates about his legacy. ,"bush was a ""uniter, not a divider,"" as he liked to say, but he did get all five living presidents together for the dedication of his presidential library. ""  bush has said he is aware that the opening of his presidential library would reopen debates over the iraq war and the policies he pursued after the september   terrorist attacks"
"sebastien de la cruz,  , sang the national anthem at nba finals on tuesday. racists comments spread via twitter after the mexican american boys performance. sebastien stands resilient  ""i am  a proud american and live in a free country. it is  not hurting me."". father says he is not  ""taken the comments personally, ca not  satisfy everyone"". ","see the performance by sebastien de la cruz  heres a sampling of some of the unkind tweets that went flying around the internet about sebastien de la cruz      ""why they got a mexican kid singing the national anthem      "" from daniel gilmore. and, from the american latino museum, ""we are  proud of the   year old san anto native sebastien de la cruz for his amazing performance last night ""  san antonio is a multicultural city with more than    of the population being hispanic and    of those people identifying themselves as mexican according to the pew hispanic center"
timothy bradley faces manny pacquiao for the wbo welterweight title in las vegas saturday. the fight is a rematch of the bitterly contested first bout between the two in  . bradley scored a points victory but received death threats after the fight. ,cnn     timothy bradley says he needs to beat manny pacquiao for a second time in las vegas on saturday to move on from the controversial conclusion of their first fight two years ago
"china will launch an unmanned lunar probe in december. chang'e   will release a solar powered rover on the moons surface. the probe may interfere with a nasa lunar dust study, american . scientist says. ",the unmanned mission marks chinas first attempt at a soft landing on the lunar surface and the first soft landing on the moon since the soviet luna   probe in
"brad blausers wheelchairs for iraqi kids has distributed nearly   free wheelchairs. dallas native blauser lives in baghdad and works for free. ""disabled children    they are  really the forgotten ones in this war,"" he said. vote now for the cnn hero of the year at cnn.com/heroes. ","baghdad, iraq  cnn     brad blauser lives in war torn baghdad, where he does not  earn a paycheck and is thousands of miles from his family. since  , brad blausers wheelchairs for iraqi kids program has distributed nearly   free wheelchairs"
experts  hurried adoptions can lead to trafficking and cause more trauma to children. aid groups say focus should be on reuniting kids with relatives. reports on plight of children in haiti has led many to ask about adoptions. ,"""  ""taking children out of the country would permanently separate thousands of children from their families    a separation that would compound the acute trauma they are already suffering and inflict long term damage on their chances of recovery,"" whitbread said. the international committee of the red cross has opened an office at the headquarters of the haitian red cross in crois de prez to help people locate their relatives, said pete garratt, a disaster response manager at the british red cross"
hilton frankfurt airport is part of a mixed use complex atop a high speed rail station. alt hotel pearson in toronto features original art and egyptian cotton linens. guests at the element miami help make electricity by using the hotels stationary bikes. ,"travel + leisure  innovative new airport terminals  the improved hotels are one component of a backlash against that shiny one world placelessness that airports have long cultivated. travel + leisure  americas safest airports  sheraton malpensa hotel  milan   a series of glass modules lined up like the teeth of a comb, this property makes for a fitting addition to a world capital of design"
"gold bar stolen from key west, florida, museum is worth more than   , . video shows crime taking place, but leads are sparse. thieves often ca not  sell stolen treasures because legitimate collectors wo not  bite. but stolen treasures are often hard to find. ","key west, florida  cnn     for more than   years, the bulletproof museum case housed a small piece of yesteryear  a gold bar recovered from a sunken spanish galleon. ""this is a special piece,"" said melissa kendrick, executive director of the mel fisher maritime museum in key west, florida. then, after a security guard left this part of the museum, a man can be seen reaching into the case housing the gold bar and placing the little piece of history into his pocket before exiting the museum"
"new  attorney for crane operator says his client is ""being made the scapegoat"". sean benschop was denied bail sunday. a law enforcement source says marijuana was found in the crane operators blood.   died,   were injured when a building being torn down collapsed onto a thrift store. ","philadelphia mayor michael nutter blamed benschops ""reckless and irresponsible behavior"" for the building collapse and said saturday he hopes that benschop faces ""the harshest level of charges"
"savana redding was   when administrators suspected she was carrying drugs. no medication was found, and she later sued. justices  search was unreasonable, but individual school officials ca not  be sued. redding, now  , has said she has never gotten over her experience. ","washington  cnn     a former middle school student who was strip searched by school officials looking for ibuprofen pain medication won a partial victory of her supreme court appeal thursday in a case testing the discretion of officials to ensure classroom safety. the larger issue of whether a campus setting traditionally gives schools greater authority over students suspected of illegal activity than police are allowed was not addressed fully by the divided court. ""  in  , the high court allowed the search of a students purse after she was suspected of hiding cigarettes"
"first major retrospective of pop artist andy warhols work exhibiting in china. warhol made first and only trip to china in  , which provided artistic inspiration. while iconic works are well recognized in china, few people connect them with warhol. warhol influenced chinese contemporary artists, most notably ai weiwei and xu bing. ","can warhol make a name in china   while warhol is well known within art and fashion circles in china  shiner said   of these cultural elite attended the exhibitions pre opening , he remains unknown to the average chinese citizen. ""  influence on chinese contemporary art  warhols influence on chinese contemporary art can actually be traced back to  , when many contemporary artists, labeled as dissidents, fled the country, shiner said. as for xu bing, viewers may not immediately see warhol in his work, shiner said, but he described the artist as a ""huge fan of warhol"" who ""loves the idea of repetition    the formal arrangement of chinese character after chinese character, an endless array of similar looking imagery. ai and xu aside, the warhol aesthetic and vocabulary has deeply influenced chinese contemporary artists over the past     years, with its characteristic combinations of social realist imagery with pop culture and iconic brands"
"new  those arrested have been bailed and the searches are over, police say. four current and former sun employees had been arrested, news corp. says. a   year old police officer has also been arrested, london police say. the arrests were made as part of an investigation into corruption allegations. ","a   year old police officer was also arrested saturday at the central london police station where he works, police said, on suspicion of corruption, misconduct in a public office and conspiracy in relation to both offenses. police said the operation was the result of information provided to police by news corporations management and standards committee  msc , which was set up to look into conduct at news international, a subsidiary of news corp"
"matteo renzi is incoming pm of italy, a country with a fractious governing system. it is  not clear how the   year old will garner more support than his predecessors. the country has problems including its two trillion euro debt pile and high unemployment. but renzi has shown he is a long distance player    and has youth and stamina on his side. ","italy has been crying out for a plausible, long term economic agenda for years, leaving the country wholly unprepared for the economic slump of recent years"
"military forces say they have taken strongholds in northeastern mogadishu. the military cites ""a big achievement"". al shabaab claimed responsibility for an attack last week that killed dozens. ","al shabaab said in august that it was withdrawing from mogadishu, and the transitional federal government, backed by african union peacekeepers, now control most districts of the capital city, the united nations office said"
"new  defendant rachel wades lawyer says sentence is ""very fair"". wade sentenced in april   stabbing death of sarah ludemann. wade was convicted of second degree murder. the two women were involved with the same man. ","cnn     a florida judge sentenced rachel wade, the   year old woman convicted of second degree murder for fatally stabbing her romantic rival in a fight last year, to   years in prison friday"
"next generation ipad could come in three different versions. currently  g ipad ships with a microsim card slot, which is only used on at t. if verizon gets iphone and ipad, it would greatly expand apples potential market. ","wired      apples loose lipped overseas partners are exchanging whispers about the next generation ipad, claiming it will come in three different versions, one of which would work with verizons network"
the military kills more than   boko haram members in an operation in borno state. they also fend off an attack on a military checkpoint in yobe states capital.   suspected boko haram members die in fighting there. boko haram seeks to impose a strict version of sharia law across northeastern nigeria. ,"abuja, nigeria  cnn     more than   members of the islamist extremist group boko haram have been killed during a nigerian military operation in the northeastern state of borno, an army spokesman told cnn on friday"
"cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of barcelona, spain for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. ",###
"woman detonates bomb after saying she would  lost her wallet, istanbul governor says. attackers identity, motive not immediately known, governor says. attack happened at police station in popular tourism district. ","istanbul  cnn a woman carried out a suicide bombing at a police station in istanbuls historic sultanahmet district tuesday evening, killing one police officer and injuring another, officials said"
"theres a difference between running for president and ""running"" for president. scott brown served part of one term in the senate before losing his re election bid. theres almost no downside in a politician saying hes considering a presidential run. even some of his former advisers say they do not  know what brown is up to. ","why in the world would scott brown, a former half term senator from mitt romneys massachusetts, put himself in the mix for the   republican presidential nomination   the real question is  why not   when brown told the des moines register over the weekend that he was heading to the iowa state fair ""to determine whether theres an interest in my brand of leadership and republicanism,"" the news was met with some amusement by political insiders. yet there they were, trailed at every turn by reporters from the washington post, des moines register, associated press, new york times, dallas morning news, wall street journal, nbc news, abc news and fox news. before his iowa trip, brown met privately with christie at the republican national committees summer conference in boston, a meeting first reported by the new york times"
"he was released early after time off for good behavior and work credit, jail official says. dharun ravi is released after serving a jail sentence. he was convicted in may on charges related to recording his gay roommate. the roommate, tyler clementi, killed himself after learning of the recording. ","the former rutgers university student convicted of spying on and intimidating his gay roommate was released from jail tuesday after serving his sentence, a jail official said"
"you do not  have to sit down to get great food in new york. opened in   in soho, a lone taco cart called calexico has expanded into a mini empire. new yorkers do not  need to go to new england for a good lobster roll, thanks to red hook lobster pound. lines form early for lumpia shacks philippines inspired food. ","red hook lobster pound food truck; locations vary; +         lumpia shack  though lumpia shack has recently upgraded to its own brick and mortar, its original location at brooklyns smorgasburg street food market still remains. lumpia shack; smorgasburg at kent avenue and wythe avenue, brooklyn; +         dirty water dogs  sometimes it feels like almost every other manhattan street corner is dressed with the ubiquitous blue and yellow striped sabrett umbrella, under which you will  find new yorks most iconic street food  the dirty water dog"
"philip rubio says the american . postal service threatened by major cuts or even closure. he says post office represents people, places we rely on; cuts will have huge effect in american .. he says it is  a major employer, innovator and fulcrum of national communications system. rubio  congress must assume responsibilty for finding a way for postal service to stay afloat. ","cnn     what would we lose if we lost  ,  postal jobs   ,  proposed through layoffs,  ,  through attrition ,  ,  post offices,   mail processing plants, or even the post office itself   with millions of jobs and businesses lost to the recent recession, these may seem like just more numbers, or more seemingly inevitable ""facts""    that in the electronic age we now rely on the private sector to deliver public services. we lose more than numbers when we lose postal jobs and post offices, or even the existence of a universal postal service"
"a cnn analysis of secret cables published by wikileaks reveals american . frustration. u.s. has concerns over economic reform, mubaraks lack of succession planning. cables also reveal washington sees egypt as an important and    until now    stable ally. ","frustration with mubaraks lack of succession planning, concerns over stuttering economic reform and private criticism of the mubarak governments hard line toward domestic opponents. but the cables also show that washington sees egypt as an important and    until now    stable ally on issues, including irans nuclear program, promoting negotiations between israel and the palestinian authority and making life difficult for hamas in gaza"
"""as they see 'em"" is in depth look at baseball umpires. ""the complete game,"" by mets broadcaster ron darling, gets inside pitchers head. two positions have similarities  necessary command, some disrespect. ","""we are  not just robots they send out there,"" umpire tim mcclelland   nd from l  told author bruce weber. and yet the positions share a number of similarities, according to two new books  ""as they see 'em""  scribner , by new york times writer bruce weber, and ""the complete game""  knopf , by former major league pitcher  and current new york mets broadcaster  ron darling. indeed, despite a library of books by and about pitchers  jim boutons ""ball four,"" jim brosnans ""the long season,"" christy mathewsons ""pitching in a pinch"" , darling said he believes that people still do not  understand what it takes to stand on that mound"
executive order bars contractors covers lgbt employees; religious groups not exempt. it did not touch a previous order allowing religious groups to weigh faith in hiring decisions. opponents disappointed on decision involving religious groups. ,president barack obama signed an executive order monday banning federal contractors from discriminating against employees on the basis of sexual orientation or gender identity. gay federal workers are already protected from workplace discrimination by a clinton era order and obamas action extended the protections to shield workers from gender identity based discrimination
"in rural africa, there is love for soccer but sometimes a lack of resources. children often make their own soccer balls from rubbish and rope. diy soccer can bring joy to an entire village, said photographer jessica hilltout. ",editors note  this is an excerpt from the february issue of national geographic magazine
it is  the first time a ban of a national committee has been lifted during an olympics. the ioc suspended india in   over the election of a tainted official to a top post. the indian olympic association has now held new elections that the ioc has approved. indian athletes will now be able to walk behind the national flag at sochis closing ceremony. ,"the decision means that indian athletes can now compete for indias olympic committee and walk behind their national flag at the closing ceremony of the winter games in sochi on   february, the statement said"
"poets have long written about their mothers or to their mothers. robert louis stevenson  poem tells mother to hear ""the little feet along the floor"". julia kasdorfs poem tells how her mother taught her to comfort those in mourning. rudyard kiplings poem said his mother would love him even if he were hanged. ","""mother o' mine"" by rudyard kipling  the nobel laureate, who lived from   to  , wrote about the undying love of a mother in this   line poem   if i were hanged on the highest hill, mother o' mine, o mother o' mine  i know whose love would follow me still, mother o' mine, o mother o' mine  if i were drowned in the deepest sea, mother o' mine, o mother o' mine  i know whose tears would come down to me, mother o' mine, o mother o' mine  if i were damned of body and soul, i know whose prayers would make me whole, mother o' mine, o mother o' mine   ""mother to son"" by langston hughes  this lesser known piece by the harlem renaissance writer takes the perspective of the mother speaking to her son and telling him that ""life for me ai not  been no crystal stair"
"pornographic sex and visceral violence in ""antichrist"" shocked early audiences. von trier was accused of misogyny but claims to identify with the female character. ""antichrist"" stars charlotte gainsbourg and willem dafoe as a bereaved couple. von triers ""the idiots""     was first mainstream film to show non simulated sex. ","""  misogyny could not  be further from the truth, according to von trier, who says he sees himself up there on the screen  ""i mostly see myself as the female character,"" the   year old director told cnn in cannes. ""  watch lars von trier talking to cnns the screening room about ""antichrist"" â»  he has been nominated for the top prize at cannes, the palme d'or, a staggering eight times, winning once in   for the harrowing operatic tragedy, ""dancer in the dark,"" starring icelandic musician, bjork, who also took home the best actress prize that year"
"the elderly woman suffered from diabetes and hypertension, ships doctors say. previously,   passengers had fallen ill on the ship, agencia brasil says. ",
"army staff sgt. robert bales admitted to gunning down   civilians. the plea spares the   year old bales the prospect of a death sentence. a jury will decide whether he will have a chance at parole. afghan civilians have been called to testify about what they saw, survived. ",cnn     the army sergeant who admitted to gunning down   civilians in a   rampage through two villages near his outpost in southern afghanistan is expected to take the stand at his sentencing hearing and will apologize
"a grainy sonar image has been spotted, an aircraft recovery group says. historian at amelia earhart birthplace museum skeptical of anything conclusive showing up. technology today is advanced enough to locate a plane, a trade association official says. ","cnn     could search crews be just a few hundred feet from solving a mystery that has riveted millions for   years   thats the question raised by tantalizing evidence published this week by teams trying to find out what happened to famed aviator amelia earhart, who vanished along with navigator fred noonan during a doomed attempt to fly around the world in"
"kazakhstans alexandre vinokourov wins gold. colombian rigoberto uran claimed silver, norways alexander kirstoff bronze. world champion mark cavendish finishes a disappointing  th. ","despite the british team having control of the peloton throughout the race, they struggled to close the gap on the lead group and cavendish was nowhere in sight as vinokourov out sprinted uran to the finish line in front of buckingham palace"
"a rebel group in congo killed at least   civilians, human rights watch said. the lords resistance army abducted   others including   children, the report said. lra forces attacked at least   villages from december   to  , the report claimed. cnn could not independently confirm reports of the massacre. ","cnn     a rebel group in the democratic republic of congo killed at least   civilians and abducted   others    including at least   children    in a previously unreported rampage late last year, human rights watch said in a report released saturday"
caroline wozniacki beaten at the french open by daniela hantuchova. world number one loses         in just   minutes at roland garros. australian  th seed samantha stosur dumped out by gisela dulko. defending champion francesca schiavone through as shuai peng retires hurt. ,"""she played very well today, better than me for sure,"" wozniacki told a press conference"
new  gillard says leadership issue settled conclusively. no challenges emerged to contest australian leadership. kevin rudd said he would not  stand against julia gillard. prime minister gillard called leadership vote for thursday. ,"""  one hundred labor caucus members had been due to vote, but in the end, no votes were cast because there were no candidates beyond gillard for prime minister, and wayne swan as her deputy"
"body of ryan jenkins found hanged in british columbia hotel, police say. authorities say preliminary evidence points to suicide. body of jasmine fiore,  , found stuffed into a suitcase inside a dumpster. her teeth were extracted, fingers removed, making it harder to identify body. ","cnn     ryan alexander jenkins, a reality tv contestant suspected in his wifes slaying, was found hanging from a coat rack in a motel room in an apparent suicide, according to canadian officials"
hong kong film production has dropped almost   percent since early  s. mainland investment and market influences quality of hong kong films. problems include few opportunities for new talents and little audience support. ,"people in hong kongs industry point to several causes for the comparatively leaner times  a lack of opportunities for new acting talent, inadequate training and schooling for people who produce movies and changing tastes within the hong kong public. ""the hong kong film industry came to a rude awakening [in the late  s] that the world was changing faster than it was in the age of new delivery systems for home entertainment and the internet,"" says bede cheng, a local film archivist and curator. ""  tim youngs, hong kong consultant for italys far east film festival, says changing tastes among hong kong movie goers has also affected the industry"
gujranwala has been largely free of the militant violence. three police officers were injured. the explosives were detonated by remote control. ,
yaya toure believes newspapers must depict religion in a more respectful way. toure fears for the safety of his muslim friends in paris. the manchester city midfielder is currently with ivory coast ahead of the africa nations cup. ,cnn manchester city and ivory coast football star yaya toure has called on the media to be more respectful in its attitude towards religion after the charlie hebdo attack
jesse tyler ferguson and justin mikita launched tie the knot foundation. proceeds from the organization go toward the fight to legalize same sex marriage. ferguson said he is protective of their relationship. ,"after much consideration and debate, the newly engaged couple decided to go public with their private news, not because they do not  enjoy their privacy    they certainly do    but because in doing so they knew they could shine a light on a cause dear to their hearts. jesse tyler fergusson  i feel like when you tackle any subject with comedy, humor and wits, you are  going to get a lot further than if you just give the dry facts of the cause. cnn  a lot of boyfriends, and girlfriends in maine, maryland and washington got some good news on election day when same sex marriage was legalized in those states by popular vote. cnn  and whether you are  voting or getting married, who does not  like to wear a nice bow tie, right  why did you pick this accessory as the cornerstone of your foundation   ferguson  i selfishly wanted to get involved in the fashion world anyway, but in a way that did not  feel like a huge undertaking. we thought    why do not  we kill two birds with one stone  we will  start a bow tie line and funnel the proceeds into a foundation for marriage equality"
"ray liotta known for bad guy roles such as gangsters, serial killers. liotta tries something a little different with comedy ""observe and report"". ""edgy guys stand out in peoples minds,"" liotta has said. ","cnn     an ex convict, a mobster, a serial killer    after more than two decades in the movie business, ray liotta is still perhaps best known for these ""bad guy"" roles in such films as ""something wild"" and ""goodfellas"
"mansfield  bush, blair should be tried for war crimes over invasion of iraq. mansfied  regime change is not permitted by the united nations . charter. mansfield  charter does not authorize preemptive action based on perceived threat. ","ten years ago i was one of a small number of uk lawyers who opposed the invasion of iraq on the grounds that it was illegal and unauthorised by the united nations. the principal security council resolution  , adopted in november  , called on iraq to disarm its wmd and cooperate with united nations. exclusive  hans blix on 'terrible mistake' in iraq  tony blair insisted to the british public that he would only support a war if a second security council resolution authorising the action was passed, but the resolution never came. without accountability for western states, how can we expect the rest of world to respect these principles  it is time for bush and blair to be thoroughly, independently and judicially investigated for the crimes i suggest have been committed and it is time for the crime of aggression to come into force"
"london transport system crippled as tube workers go on strike. normal service not due to resume until friday morning. buses crammed with commuters; many chose to cycle, walk to work. rmt trade union called strike in dispute over pay, job cuts, disciplinary issues. ","london, england  cnn     london commuters crammed onto buses, scrambled for taxis, cycled or simply walked on wednesday as a strike by tube workers shut down most of the subway network"
new  the presidents of sudan and south sudan meet in juba. talks between south sudans government and rebels begin in ethiopia. south sudan erupted into violence in a december attempted coup. violence has raged since; both sides are now holding talks to seek a resolution. ,cnn     sudanese president omar al bashir arrived in neighboring south sudan on monday for talks on unrest in the latter nation that has left hundreds dead
"saola caught on forest camera in vietnam. at most, only a few hundred saola thought to exist. species was first discovered in  . ","cnn     environmentalists in vietnam were ebullient this week after remote cameras in a forest reserve snapped pictures of a live saola, one of the rarest large mammals on earth"
new  palestinian official    year old girl killed by israeli airstrike. new  israeli military  about   rockets from gaza since cease fires end. israel and hamas criticize one another for not doing more to halt violence. ,"gaza city  cnn     with the latest failed cease fire quickly becoming a distant memory, the two sides in the israel gaza conflict traded rockets and airstrikes saturday    as well as blame for not stopping the bloodshed. ""  cnn exclusive  inside the mind of hamas' political leader  nobel laureate wiesel  hamas must stop using children as human shields  gaza conflict  can economic isolation ever be reversed   life in gaza  misery heightened by war  cnns john vause reported from gaza, matthew chance reported from jerusalem; ben brumfield and greg botelho wrote and reported from atlanta"
"libyan branch of isis claims responsibility; names attackers. libyan spokesman says death toll is at least   people at hotel and two attackers. siege is over and the gunmen are dead, hotel company spokesman says. an american security contractor is among the dead, his company says. ","cnn at least   people and two attackers were killed in tuesdays attack against the luxurious corinthia hotel in tripoli, libya, a spokesman for a security division of the ministry of interior in tripoli said. five foreigners    one american, one french citizen, and three people from tajikistan    were killed in the attack, essam al naas said"
new  hospital staff makes release recommendations. john hinckleys sister says she supports letting him eventually live in williamsburg. she says he feels comfortable there and is accepted by many community members. hinckley has been hospitalized since he shot president reagan in  . ,"diane sims, who said she loves her brother, said she supports a proposal that would expand his visits to their mothers home in williamsburg, virginia, and might eventually allow him to live there as a full time outpatient. the hospitals recommendation for hinckleys eventual release on convalescent leave asks the judge to allow hinckley to live full time in williamsburg ""at the discretion of the hospital"" once the eight longer visits have been completed successfully. ""  if the judge were to grant convalescent leave at the hospitals discretion at the end of the eight longer visits now requested, it would be unlikely to happen until at least the fall of  , since as the filing requires a minimum two week interval between each of the new visits. according to a report by secret service agents who were watching hinckley without his knowledge, on one outing last july, hinckley did not attend a movie and instead went to a bookstore where he passed by an aisle of books that included an account of the day reagan was shot"
"new  sen. barack obama, house armed services chairman criticize scope, timing. new  iraq views decision as ""positive move,"" aide to iraqi leader says. iraq force to be trimmed by  , ; afghanistan force to rise by  , . president bush cites increased stability in iraq, stronger insurgency in afghanistan. ","washington  cnn     president bush on tuesday announced a troop deployment shift for americas two wars, a move that reflects a more stable iraq and an increasingly volatile afghanistan. ""over the next several months, we will bring home about  ,  combat support forces    including aviation personnel, explosive ordnance teams, combat and construction engineers, military police and logistical support forces,"" he said. ""we look at this step as a positive step that there is stability in iraq, there is a real improvement in the security situation in iraq and there is a real improvement in the capability of the iraqi security forces in protecting and keeping the security in iraq,"" said sadiq al rikabi, al malikis political adviser"
"hello kitty is not a cat, anthropologist reveals ahead of retrospective. interview in la times ricocheted around internet among shocked fans. cat like character is a british girl who has a twin sister and a pet cat. ","""  the apparently shocking revelation was made in an la times article published wednesday about a retrospective of kitty paraphernalia opening next month at the japanese american national museum. summing up the disbelief,  jkltoraay tweeted  ""you cannot say hello kitty is not a cat after   years no human has whiskers and pointed ears and a little yellow nose"
cristina fernandez de kirchner has a blood clot on the surface of her brain. a month of rest is recommended. spokesman  the president suffered cranial trauma in august. ,cnn     argentine president cristina fernandez de kirchner was told to take a month off work after doctors diagnosed her with a subdural hematoma
"cartoon uses muscle bound character called voteman to persuade people to vote. voteman is depicted in a series of sexually suggestive and violent scenes. parliament speaker apologizes, says cartoon was ""more serious and offensive"" than intended. danish parliaments eu information center created cartoon ahead of european elections. ","""  the cartoon tells the story of how voteman, as a young man, once forgot to vote in european parliament elections"
"donald sterling shows 'neurodementia of the alzheimers type,' a doctor says. hes unaware of the season and ca not  spell 'world' backward, doctor adds. he shows 'early alzheimers disease' or other brain disease, second doctor says. findings are consistent with 'the general loss of brain tissue,' third doctor says. ","los angeles  cnn     los angeles clippers co owner shelly sterling asked a los angeles probate court wednesday to uphold her negotiated sale of the team for    billion despite her husbands objections, her attorney said. sterlings legal maneuver comes as three physicians say her estranged husband, donald,  , is mentally incapacitated, said her attorney, pierce o would onnell. james edward spar, a specialist in geriatric psychiatry who examined donald sterling on may  , said sterling suffers ""mild global cognitive impairment"" and ""the overall picture is consistent with early alzheimers disease, but could reflect other forms of brain disease,"" court papers said. ""  under the trust agreement, if donald sterling became mentally incapacitated, he would be removed as a trustee, o would onnell said"
"rage against the machine has reissued its   album. review  only ""nevermind"" and ""the chronic"" rival it for ' s cultural impact. the reissued album comes with dvds of live shows and music videos. ","zack de la rochas blocky, academically aspirational rhymes preached leftist revolution, and guitarist and sonic architect tom morello practiced an almost authoritarian control and extreme technical precision as he mimicked sampling, sent down thunderous power chords and, occasionally, indulged in almost new age y solos"
"the video games career mode offers rare video footage of the band playing. want to drum like tre cool  you might need the ""green day  rock band"" specific drum lessons. details make this game exciting for fans    even wardrobe is varied and historically correct. ","when the game was released on tuesday, i could not  wait to get home and see if i could play like tre cool or sing like billie joe armstrong"
"russian state news says  ,  ukrainian troops in eastern ukraine. self declared mayor of slavyansk says diabetic hostage has the medicine he needs. ukraines security service says osce team is being held in ""inhumane conditions"". u.s. official says planned american . sanctions ""can have a significant impact"" on russia. ","kiev, ukraine  cnn     a perilous face off intensified saturday when russia state news complained that ukraine had mobilized  ,  troops in the suburbs of slavyansk in eastern ukraine ""in order to wipe out the city and its residents. developments in ukraine have come at a rapid pace in recent days      russia, which already had  ,  troops on its side of the border, started new military drills a few days ago after ukrainian forces said they killed five pro russian militants"
"""  jump street"" morphs into an action comedy with a tonal complexity. what this interpretation sacrifices in teachable moments, it makes up for in intelligent giddiness. channing tatum has got bust out talents as a really funny, self aware comic actor. ","the late  s pop culture relic ""  jump street"" was a primo specimen of a tv police procedural with a catchy hook  a team of fresh faced cops work undercover as high school kids, reporting back to their tough/earnest boss at the address listed above. as it turns out, dim memories and a new generation of pop culture consumers work to the great advantage of ""  jump street"" the movie  what this fast, cheeky, and very funny interpretation of the original premise sacrifices in teachable moments, it makes up for in intelligent giddiness"
"kristin beck served as a navy seal for more than   years. known then as chris beck, the war veteran deployed   times. beck retired in   and has since come out as transgender. ""no one ever met the real me,"" she says. ","""  ""i fought for   years for life, liberty and the pursuit of happiness. ""  'no one ever met the real me'  beck explains her years of hiding as living like an onion"
"this page includes the show transcript and the daily curriculum. use the transcript to help students with reading comprehension and vocabulary. the daily curriculums newsquiz tests students' knowledge of events in the news. at the bottom of the page, please share your feedback about our show and curriculum. ","cnn student news     january  ,    this friday, cnn student news is all about journeys  the nationwide one that millions of chinese are taking for the lunar new year, the harrowing one that led thousands of atlantans to abandon their cars, and the first one that a baby polar bear took in the snow"
"new  vice president joe biden praises ""my friend,"" plans to attend funeral tuesday. specter died of complications from non hodgkins lymphoma. he represented pennsylvania in the senate longer than anyone else. he was long one of the most prominent jewish american politicians. ","arlen specter, who embodied a vanishing breed of liberal republicanism before switching to the democratic party at the twilight of his political career, died sunday after a long battle with cancer, his family announced. ed rendell, a democrat, called specter ""a mentor, colleague and a political institution"" who ""did more for the people of pennsylvania over his more than   year career with the possible exception of benjamin franklin. ""  ""from his days stamping out corruption as a prosecutor in philadelphia to his three decades of service in the senate, arlen was fiercely independent    never putting party or ideology ahead of the people he was chosen to serve,"" obama said in a written statement on specters death. ""  the senator practiced law when he was not  in office and authored books throughout his career, including      ""passion for truth  from finding jfks single bullet to questioning anita hill to impeaching clinton""     ""never give in  battling cancer in the senate""     ""life among the cannibals  a political career, a tea party uprising, and the end of governing as we know it""  ""for the past quarter century, hes also been a zelig like national figure,"" the philadelphia magazine article said, referring to the woody allen character from the film of the same name who changed his persona as his surroundings and circumstances changed"
"nearly   endangered forest elephants were killed in   parks.   sudanese poachers on horseback are believed to be responsible. forest and savanna elephant populations have declined drastically. central african nations agree to mobilize  ,  soldiers to fight poaching. ","yaounde, cameroon  cnn     heavily armed poachers recently killed nearly   endangered forest elephants for their ivory in two national parks, officials in cameroon said tuesday, the latest in a string of slaughters of the animals in central africa. the governments of three central african nations    cameroon, the central african republic and chad    announced saturday they would muster as many as  ,  soldiers for joint military operations to protect the regions last remaining savanna elephants, as the sudanese poachers are still active in the region"
